epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,512.81,1.72284,1.79523,1.46993,0.79683,0.68595,0.75713,0.34236,1.84577,1.27319,1.50647,0.00999761,0.00333254,0.00999761,0.00333254,0.00999761,0.00333254,0.00999761,0.00333254
2,903.091,1.67195,1.38546,1.45953,0.81336,0.72309,0.7939,0.36637,1.8139,1.16309,1.49747,0.0190077,0.00633591,0.0190077,0.00633591,0.0190077,0.00633591,0.0190077,0.00633591
3,1263.03,1.67448,1.28842,1.47067,0.84942,0.75216,0.82138,0.37247,1.82457,1.0949,1.48272,0.0270278,0.00900928,0.0270278,0.00900928,0.0270278,0.00900928,0.0270278,0.00900928
4,1599.6,1.66019,1.20607,1.44056,0.84552,0.76992,0.82957,0.38727,1.80004,1.04944,1.43433,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,1942.97,1.63786,1.12771,1.41799,0.85622,0.79492,0.85448,0.39837,1.78582,1.00456,1.42775,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,2281.13,1.63076,1.08079,1.407,0.87548,0.80828,0.86346,0.4062,1.78007,0.95954,1.4188,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,2631.63,1.61509,1.0412,1.39197,0.87444,0.8117,0.86466,0.41177,1.77038,0.93043,1.39534,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,2975.6,1.60802,1.01733,1.38523,0.87666,0.82886,0.87371,0.41613,1.7653,0.91572,1.39563,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,3333.52,1.6035,0.99454,1.37918,0.88194,0.82901,0.87763,0.42085,1.75932,0.90149,1.387,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,3676.07,1.598,0.98302,1.37562,0.8885,0.83363,0.88273,0.42462,1.75624,0.89454,1.39285,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,4036.05,1.64554,0.8194,1.44557,0.88734,0.82762,0.88163,0.42542,1.75374,0.88976,1.39358,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,4383.12,1.63912,0.80586,1.44447,0.88843,0.84347,0.88661,0.42688,1.75451,0.87606,1.39941,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,4730.06,1.63394,0.79192,1.44032,0.89238,0.84095,0.88865,0.42976,1.75247,0.87192,1.39347,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,5071.71,1.62817,0.77975,1.44131,0.89213,0.8458,0.8928,0.43164,1.74963,0.87107,1.39651,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,5420.04,1.62202,0.76337,1.43498,0.89815,0.85223,0.89533,0.43342,1.75454,0.85651,1.39532,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,5764.92,1.617,0.75087,1.4325,0.89448,0.85112,0.89685,0.43545,1.74938,0.8522,1.39432,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,6114.9,1.60955,0.73694,1.42294,0.89545,0.85388,0.8969,0.4349,1.7494,0.85425,1.38842,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,6457.31,1.60665,0.72255,1.41695,0.89507,0.85696,0.89831,0.43546,1.74881,0.85077,1.38629,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,6794.59,1.59763,0.70796,1.41349,0.89713,0.85705,0.89873,0.43461,1.75492,0.84931,1.3917,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,7136.7,1.59194,0.69737,1.40927,0.89832,0.85942,0.89943,0.43549,1.75489,0.84782,1.39048,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
